"id","name","short_description","parent_id","category","category_name","updated"
"bgp","BGP","Border Gateway Protocol for exchanging routing and reachability information",,"networking","Networking","2020-05-20T20:42:31.809Z"
"bhvr","Behaviour Interactive","Video game traffic",,"gaming","Gaming","2020-05-20T20:43:13.395Z"
"big_fish_casino","Big Fish Casino","Casino gambling game",,"gaming","Gaming","2020-05-20T20:43:33.568Z"
"big_fish_games","Big Fish Games","Video game traffic",,"gaming","Gaming","2020-05-20T20:43:58.522Z"
"bigolive","Bigo Live","Social media video streaming app",,"social","Social","2020-06-03T23:40:58.424Z"
"bilibili","Bilibili","Video sharing website for anime, manga and game fandom",,"video","Video","2020-05-20T20:44:46.990Z"
"bing","Bing","Web search engine",,"other","Other","2020-06-03T23:41:29.997Z"
"bingo_blitz","Bingo Blitz","Arcade-style gambling game",,"gaming","Gaming","2020-05-20T20:45:33.777Z"
"bip_messenger","BiP Messenger","Voice-over-IP application",,"messaging","Messaging","2020-05-20T20:46:06.546Z"
"bip_messenger_call","BiP Messenger Call","Voice and video calling by BiP","bip_messenger","messaging","Messaging","2020-08-14T00:07:05.700Z"
"bitcoin","Bitcoin","Cryptocurrency and digital payment system",,"file_transfer","File Transfer","2020-05-20T20:46:23.896Z"
"bitcomet","BitComet","Cross-protocol BitTorrent client",,"p2p","Peer-to-peer File Sharing","2020-06-01T15:33:26.665Z"
"bitdefender","Bitdefender","Antivirus and security service",,"security","Security Software","2020-05-31T23:55:23.865Z"
"bitlord","BitLord","Ad-supported, proprietary BitTorrent client",,"p2p","Peer-to-peer File Sharing","2020-06-01T15:33:49.209Z"
"bitmango","BitMango","Game traffic",,"gaming","Gaming","2020-05-20T20:50:51.514Z"
"bitmessage","Bitmessage","Peer-to-peer communications protocol",,"messaging","Messaging","2020-05-20T20:51:07.026Z"
"bitmoji","Bitmoji","Personalize avatars for messaging applications",,"social","Social","2020-05-20T20:51:28.312Z"
